League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
nba,2024-12-26T03:30:00.000Z,DEN @ PHX,,custom,game,-114,30.5,loss,1.5,-1.5,15,-15,
nba,2024-12-26T03:30:00.000Z,DEN @ PHX,,custom,game,-157,3.5,win,1.2,0.7643,12,7.6433,
nba,2024-12-26T03:30:00.000Z,DEN @ PHX,,custom,game,-122,22.5,win,1.5,1.2295,15,12.2951,
epl,2024-12-26T15:00:00.000Z,CRY @ BOU,BOU -115,ml_home,game,-115,-115,loss,3.25,-3.25,32.5,-32.5,
epl,2024-12-26T15:00:00.000Z,AVL @ NEW,AVL @ NEW: o3 -110,over,game,-110,3,push,1.1,0,11,0,
epl,2024-12-26T17:30:00.000Z,MUN @ WOL,MUN -110,ml_away,game,-110,-110,loss,1.32,-1.32,13.2,-13.2,
nba,2024-12-27T01:00:00.000Z,TOR @ MEM,,custom,game,-125,23.5,loss,1,-1,10,-10,
nfl,2024-12-27T01:15:00.000Z,SEA @ CHI,,custom,game,-119,1.5,win,1,0.8403,10,8.4034,
nfl,2024-12-27T01:15:00.000Z,SEA @ CHI,,custom,game,-134,34.5,win,1,0.7463,10,7.4627,
nfl,2024-12-27T01:15:00.000Z,SEA @ CHI,,custom,game,-110,13.5,loss,1.1,-1.1,11,-11,
nba,2024-12-27T03:00:00.000Z,DET @ SAC,,custom,game,-112,12.5,loss,1,-1,10,-10,
ncaaf,2024-12-27T17:00:00.000Z,OU @ NAVY,(Live) OU -170,ml_away,game,-170,-170,loss,2.5,-2.5,25,-25,
ncaaf,2024-12-28T01:00:00.000Z,SYR @ WSU,SYR -17 -130,spread_away,game,-130,-17,push,2,0,20,0,
nba,2024-12-28T02:00:00.000Z,CLE @ DEN,,custom,game,-114,8.5,win,1.5,1.3158,15,13.1579,
nhl,2024-12-28T02:30:00.000Z,COL @ UTA,COL -135,ml_away,game,-135,-135,win,1.62,1.2,16.2,12,
nba,2024-12-28T03:00:00.000Z,GSW @ LAC,,custom,game,-115,23.5,loss,2,-2,20,-20,
ncaaf,2024-12-28T17:00:00.000Z,BC @ NEB,BC +2.5 -106,spread_away,game,-106,2.5,loss,1.06,-1.06,10.6,-10.6,
nfl,2024-12-28T18:00:00.000Z,LAC @ NE,,custom,game,-113,44.5,loss,1,-1,10,-10,
nfl,2024-12-28T18:00:00.000Z,LAC @ NE,,custom,game,-111,35.5,win,1,0.9009,10,9.009,
ncaab,2024-12-28T19:00:00.000Z,BUCK @ SYR,(Live) SYR -10.5 -104,spread_home,game,-104,-10.5,win,1,0.9615,10,9.6154,
ncaab,2024-12-28T19:00:00.000Z,BUCK @ SYR,,custom,game,-115,80.5,loss,3,-3,30,-30,
ncaaf,2024-12-28T20:30:00.000Z,ISU @ MIA,(Live) ISU @ MIA: u90.5 -103,under,game,-103,90.5,win,0.515,0.5,5.15,5,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,,custom,game,-113,10.5,loss,3,-3,30,-30,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,(Live) GONZ -190,ml_away,game,-190,-190,loss,4,-4,40,-40,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,,custom,game,105,11.5,loss,1.5,-1.5,15,-15,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,,custom,game,-170,8.5,loss,4,-4,40,-40,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,GONZ @ UCLA: o147.5 -110,over,game,-110,147.5,loss,3,-3,30,-30,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,GONZ -4 -110,spread_away,game,-110,-4,loss,1.5,-1.5,15,-15,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,(Live) GONZ +173,ml_away,game,173,173,loss,3.179,-3.179,31.79,-31.79,
ncaab,2024-12-28T21:00:00.000Z,GONZ @ UCLA,,custom,game,-205,0.5,win,4,1.9512,40,19.5122,
nfl,2024-12-28T21:30:00.000Z,DEN @ CIN,,custom,game,-117,26.5,win,1,0.8547,10,8.547,
ncaaf,2024-12-29T00:30:00.000Z,BYU @ COLO,COLO -135,ml_home,game,-135,-135,loss,0.5,-0.5,5,-5,
nfl,2024-12-29T01:10:00.000Z,ARI @ LA,,custom,game,-114,25.5,loss,1,-1,10,-10,
nba,2024-12-29T20:30:00.000Z,BKN @ ORL,,custom,game,-108,19.5,win,2,1.8519,20,18.5185,
ncaab,2024-12-31T01:00:00.000Z,OAK @ ARK,(Live) ARK -10.5 -123,spread_home,game,-123,-10.5,win,1.1,0.8943,11,8.9431,
ncaaf,2024-12-31T17:00:00.000Z,BAMA @ MICH,,custom,game,-133,208.5,win,0.6,0.4511,6,4.5113,
ncaaf,2024-12-31T17:00:00.000Z,BAMA @ MICH,,custom,game,-109,57.5,win,1.1,1.0092,11,10.0917,
ncaaf,2024-12-31T17:00:00.000Z,BAMA @ MICH,,custom,firsthalf,-115,16.5,loss,1.15,-1.15,11.5,-11.5,
ncaaf,2024-12-31T17:00:00.000Z,BAMA @ MICH,,custom,game,450,450,loss,0.6,-0.6,6,-6,
ncaab,2024-12-31T19:00:00.000Z,WVU @ KU,(Live) WVU +2 -117,spread_away,game,-117,2,win,0.01,0.0085,0.1,0.0855,
ncaab,2024-12-31T19:00:00.000Z,UCF @ TTU,(Live) UCF +5.5 -117,spread_away,game,-117,5.5,win,0.01,0.0085,0.1,0.0855,
ncaab,2024-12-31T19:00:00.000Z,WAKE @ SYR,(Live) WAKE -5.5 -122,spread_away,game,-122,-5.5,win,0.01,0.0082,0.1,0.082,
ncaaf,2024-12-31T20:00:00.000Z,SC @ ILL,(Live) SC @ ILL: u44.5 -120,under,game,-120,44.5,win,0.01,0.0083,0.1,0.0833,
ncaaf,2024-12-31T20:30:00.000Z,BAY @ LSU,BAY @ LSU: u62.5 -108,under,game,-108,62.5,loss,0.01,-0.01,0.1,-0.1,
ncaab,2024-12-31T21:00:00.000Z,GW @ RICH,(Live) GW +7 -121,spread_away,game,-121,7,win,0.01,0.0083,0.1,0.0826,
ncaab,2024-12-31T22:00:00.000Z,CSU @ SJSU,SJSU +3.5 -110,spread_home,game,-110,3.5,loss,1.2,-1.2,12,-12,
ncaaf,2025-01-01T00:30:00.000Z,PSU @ BOISE,BOISE +11 -110,spread_home,game,-110,11,loss,1.65,-1.65,16.5,-16.5,
ncaaf,2025-01-01T00:30:00.000Z,PSU @ BOISE,,custom,game,-116,130.5,win,1,0.8621,10,8.6207,
ncaaf,2025-01-01T00:30:00.000Z,PSU @ BOISE,,custom,game,-130,1.5,win,1.1,0.8462,11,8.4615,
ncaaf,2025-01-01T00:30:00.000Z,PSU @ BOISE,,custom,game,-130,1.5,win,0.7,0.5385,7,5.3846,
ncaaf,2025-01-01T00:30:00.000Z,PSU @ BOISE,,custom,game,-120,33.5,loss,2.7,-2.7,27,-27,
nba,2025-01-01T02:00:00.000Z,CLE @ LAL,,custom,game,115,5.5,loss,0.01,-0.01,0.1,-0.1,
nba,2025-01-01T02:00:00.000Z,MEM @ PHX,,custom,game,-117,9.5,push,0.01,0,0.1,0,
nba,2025-01-01T02:00:00.000Z,CLE @ LAL,,custom,game,-122,22.5,win,0.01,0.0082,0.1,0.082,
ncaab,2025-01-01T17:00:00.000Z,MIA @ BC,MIA @ BC: o144.5 -110,over,game,-110,144.5,win,0.01,0.0091,0.1,0.0909,
epl,2025-01-01T17:30:00.000Z,ARS @ BRE,ARS -195,ml_away,game,-195,-195,win,0.01,0.0051,0.1,0.0513,
ncaaf,2025-01-01T18:00:00.000Z,TEX @ ASU,,custom,game,-176,1.5,win,2,1.1364,20,11.3636,
ncaab,2025-01-01T19:00:00.000Z,CONN @ DEP,CONN -12.5 -105,spread_away,game,-105,-12.5,win,0.01,0.0095,0.1,0.0952,
ncaab,2025-01-01T21:00:00.000Z,STAN @ CLEM,STAN @ CLEM: u142.5 -106,under,game,-106,142.5,loss,0.01,-0.01,0.1,-0.1,
ncaaf,2025-01-01T22:00:00.000Z,OSU @ ORE,,custom,game,-105,28.5,win,1,0.9524,10,9.5238,
ncaaf,2025-01-01T22:00:00.000Z,OSU @ ORE,,custom,game,-135,43.5,loss,1,-1,10,-10,
ncaab,2025-01-01T23:00:00.000Z,UNC @ LOU,(Live) UNC +100,ml_away,game,100,100,loss,1.2,-1.2,12,-12,
nba,2025-01-02T00:00:00.000Z,CHI @ WAS,,custom,game,-118,22.5,win,0.6,0.5085,6,5.0847,
nba,2025-01-02T00:30:00.000Z,NOP @ MIA,,custom,game,-125,20.5,loss,0.6,-0.6,6,-6,
nba,2025-01-02T02:00:00.000Z,ATL @ DEN,,custom,game,-122,30.5,win,0.6,0.4918,6,4.918,
ncaaf,2025-01-02T21:00:00.000Z,ND @ UGA,,custom,game,-114,46.5,loss,1.5,-1.5,15,-15,
ncaaf,2025-01-02T21:00:00.000Z,ND @ UGA,UGA +100,ml_home,game,100,100,loss,6,-6,60,-60,
nba,2025-01-03T01:00:00.000Z,BKN @ MIL,,custom,game,-125,19.5,win,1.9,1.52,19,15.2,
nba,2025-01-05T00:00:00.000Z,PHX @ IND,,custom,game,-115,9.5,loss,0.2,-0.2,2,-2,
nba,2025-01-05T00:00:00.000Z,MIN @ DET,,custom,game,-116,24,win,0.2,0.1724,2,1.7241,
nba,2025-01-05T01:30:00.000Z,MEM @ GSW,,custom,game,-107,20,loss,0.2,-0.2,2,-2,
ligue1,2025-01-05T14:00:00.000Z,STB @ ANG,(Live) STB +100,ml_away,game,-100,-100,loss,0.2,-0.2,2,-2,
epl,2025-01-05T14:00:00.000Z,IPS @ FUL,FUL -182,ml_home,game,-182,-182,loss,0.9,-0.9,9,-9,
nfl,2025-01-05T18:00:00.000Z,CAR @ ATL,(Live) ATL -6 -105,spread_home,game,-105,-6,loss,0.9,-0.9,9,-9,
nfl,2025-01-05T21:25:00.000Z,MIA @ NYJ,,custom,game,300,130,win,0.3,0.9,3,9,
nfl,2025-01-06T01:20:00.000Z,MIN @ DET,MIN +3 -118,spread_away,game,-118,3,loss,1.3,-1.3,13,-13,
nfl,2025-01-06T01:20:00.000Z,MIN @ DET,MIN @ DET: u56.5 -105,under,game,-105,56.5,win,0.5,0.4762,5,4.7619,
ncaab,2025-01-08T00:00:00.000Z,UK @ UGA,UGA +120,ml_home,game,120,120,win,0.5,0.6,5,6,
nba,2025-01-08T00:00:00.000Z,HOU @ WAS,(Live) HOU -6 -113,spread_away,game,-113,-6,win,1.1,0.9735,11,9.7345,
ncaab,2025-01-08T00:00:00.000Z,ARIZ @ WVU,(Live) WVU +10.5 -110,spread_home,game,-110,10.5,loss,0.7,-0.7,7,-7,
ncaab,2025-01-09T00:00:00.000Z,MISS @ ARK,ARK -3 -120,spread_home,game,-120,-3,loss,0.5,-0.5,5,-5,
nba,2025-01-09T00:00:00.000Z,CHI @ IND,,custom,game,-110,13.5,win,0.3,0.2727,3,2.7273,
nba,2025-01-09T00:00:00.000Z,OKC @ CLE,,custom,game,-119,32.5,win,0.4,0.3361,4,3.3613,
nba,2025-01-09T00:30:00.000Z,TOR @ NYK,,custom,game,120,4.5,win,0.4,0.48,4,4.8,
nba,2025-01-09T01:00:00.000Z,POR @ NOP,,custom,game,-110,21.5,win,0.4,0.3636,4,3.6364,
ncaab,2025-01-09T02:00:00.000Z,USD @ GONZ,(1H) GONZ -16.5 -105,spread_home,firsthalf,-105,-16.5,loss,0.7,-0.7,7,-7,
ncaab,2025-01-09T02:00:00.000Z,ASU @ KU,(Live) KU -6.5 -115,spread_home,game,-115,-6.5,win,0.5,0.4348,5,4.3478,
nba,2025-01-10T00:00:00.000Z,TOR @ CLE,,custom,game,-130,13.5,win,0.3,0.2308,3,2.3077,
nba,2025-01-10T00:00:00.000Z,TOR @ CLE,,custom,game,-115,4.5,loss,0.5,-0.5,5,-5,
nba,2025-01-10T00:30:00.000Z,POR @ DAL,,custom,game,-148,6.5,loss,0.3,-0.3,3,-3,
ncaaf,2025-01-10T00:30:00.000Z,ND @ PSU,PSU +100,ml_home,game,100,100,loss,1.7,-1.7,17,-17,
nba,2025-01-10T01:00:00.000Z,HOU @ MEM,,custom,game,-115,21.5,loss,0.4,-0.4,4,-4,
nba,2025-01-10T02:00:00.000Z,ATL @ PHX,,custom,game,-125,26.5,loss,0.4,-0.4,4,-4,
nba,2025-01-10T02:00:00.000Z,MIA @ UTA,,custom,game,-111,21.5,loss,0.4,-0.4,4,-4,
ncaab,2025-01-11T00:00:00.000Z,MINN @ WIS,(Live) WIS -7.5 -190,spread_home,game,-190,-7.5,win,0.3,0.1579,3,1.5789,
nba,2025-01-11T00:30:00.000Z,SAC @ BOS,,custom,game,-120,21.5,win,0.96,0.8,9.6,8,
nba,2025-01-11T00:30:00.000Z,OKC @ NYK,,custom,game,-145,24.5,win,0.802,0.5531,8.02,5.531,
nba,2025-01-11T00:30:00.000Z,SAC @ BOS,,custom,game,-109,5.5,win,0.3,0.2752,3,2.7523,
ncaaf,2025-01-11T00:30:00.000Z,OSU @ TEX,,custom,game,-125,63.5,loss,2,-2,20,-20,
ncaaf,2025-01-11T00:30:00.000Z,OSU @ TEX,,custom,game,-195,1.5,loss,4,-4,40,-40,
nba,2025-01-11T01:00:00.000Z,WAS @ CHI,,custom,game,-105,13.5,loss,0.5,-0.5,5,-5,
nba,2025-01-11T02:00:00.000Z,BKN @ DEN,,custom,game,-110,32.5,loss,1.5,-1.5,15,-15,
ncaab,2025-01-11T18:00:00.000Z,AUB @ SCAR,(Live) AUB -5.5 -105,spread_away,game,-105,-5.5,loss,0.7,-0.7,7,-7,
ncaab,2025-01-11T18:00:00.000Z,AUB @ SCAR,(Live) AUB -1.5 -125,spread_away,game,-125,-1.5,win,0.4,0.32,4,3.2,
ncaab,2025-01-11T18:00:00.000Z,AUB @ SCAR,(1H) AUB -720,ml_away,firsthalf,-720,-720,loss,0.7,-0.7,7,-7,
ncaab,2025-01-11T19:00:00.000Z,KU @ CIN,(Live) KU -140,ml_away,game,-140,-140,win,0.8,0.5714,8,5.7143,
ncaab,2025-01-11T19:00:00.000Z,CONN @ GTWN,(Live) CONN -2 -115,spread_away,game,-115,-2,win,1.3,1.1304,13,11.3043,
nfl,2025-01-11T21:30:00.000Z,LAC @ HOU,LAC -2.5 -120,spread_away,game,-120,-2.5,loss,12,-12,120,-120,
nfl,2025-01-11T21:30:00.000Z,LAC @ HOU,LAC @ HOU: o41.5 -120,over,game,-120,41.5,win,3.6,3,36,30,
ncaab,2025-01-11T22:15:00.000Z,WAKE @ MIA,(Live) WAKE -4 -110,spread_away,game,-110,-4,win,0.7,0.6364,7,6.3636,
nba,2025-01-12T00:00:00.000Z,TOR @ DET,,custom,game,-122,10.5,loss,2.9,-2.9,29,-29,
nfl,2025-01-12T01:00:00.000Z,PIT @ BAL,BAL -8.5 -120,spread_home,game,-120,-8.5,win,20.8,17.3333,208,173.3333,
nba,2025-01-12T01:00:00.000Z,MEM @ MIN,,custom,game,-125,10.5,win,0.6,0.48,6,4.8,
nba,2025-01-12T03:00:00.000Z,MIA @ POR,,custom,game,-105,9.5,win,0.6,0.5714,6,5.7143,
nfl,2025-01-12T18:00:00.000Z,DEN @ BUF,,custom,game,-115,22.5,loss,1,-1,10,-10,
ncaab,2025-01-12T19:00:00.000Z,WASH @ MICH,MICH -13.5 -110,spread_home,game,-110,-13.5,win,1.1,1,11,10,
nfl,2025-01-12T21:30:00.000Z,GB @ PHI,GB +5.5 -110,spread_away,game,-110,5.5,loss,1.1,-1.1,11,-11,
nfl,2025-01-12T21:30:00.000Z,GB @ PHI,GB @ PHI: u45.5 -110,under,game,-110,45.5,win,5,4.5455,50,45.4545,
nfl,2025-01-12T21:30:00.000Z,GB @ PHI,,custom,game,-115,6.5,loss,1.5,-1.5,15,-15,
nfl,2025-01-12T21:30:00.000Z,GB @ PHI,,custom,game,-130,21.5,loss,1.2,-1.2,12,-12,
nfl,2025-01-12T21:30:00.000Z,GB @ PHI,,custom,game,-112,220.5,loss,1,-1,10,-10,
nba,2025-01-12T23:00:00.000Z,IND @ CLE,,custom,game,-120,21.5,win,0.7,0.5833,7,5.8333,
nba,2025-01-12T23:00:00.000Z,NOP @ BOS,,custom,game,-120,25.5,win,0.7,0.5833,7,5.8333,
nba,2025-01-12T23:00:00.000Z,PHI @ ORL,,custom,game,-115,34.5,loss,1,-1,10,-10,
nfl,2025-01-13T01:15:00.000Z,WAS @ TB,,custom,game,-130,55.5,loss,1,-1,10,-10,
nfl,2025-01-13T01:15:00.000Z,WAS @ TB,,custom,game,-110,22.5,win,1,0.9091,10,9.0909,
nba,2025-01-13T02:00:00.000Z,CHA @ PHX,,custom,game,-110,9.5,loss,0.7,-0.7,7,-7,
nba,2025-01-14T00:00:00.000Z,MIN @ WAS,,custom,game,-110,15.5,win,0.8,0.7273,8,7.2727,
nba,2025-01-14T00:30:00.000Z,DET @ NYK,,custom,game,-102,15.5,loss,0.8,-0.8,8,-8,
nfl,2025-01-14T01:15:00.000Z,MIN @ LA,,custom,game,-120,42.5,loss,1.2,-1.2,12,-12,
nfl,2025-01-14T01:15:00.000Z,MIN @ LA,MIN -2.5 -110,spread_away,game,-110,-2.5,loss,2,-2,20,-20,
nba,2025-01-14T03:30:00.000Z,SAS @ LAL,,custom,game,-111,23.5,loss,0.8,-0.8,8,-8,
seriea,2025-01-14T17:30:00.000Z,ACM @ COM,ACM -107,ml_away,game,-107,-107,win,3.07,2.8692,30.7,28.6916,
ncaab,2025-01-15T03:30:00.000Z,IOWA @ USC,USC -155,ml_home,game,-155,-155,win,1.55,1,15.5,10,
bundesliga,2025-01-15T19:30:00.000Z,FCH @ SVW,(Live) SVW -1 +105,spread_home,game,105,-1,loss,1,-1,10,-10,
bundesliga,2025-01-15T19:30:00.000Z,RBL @ VFB,VFB -101,ml_home,game,-101,-101,win,1.01,1,10.1,10,
ncaab,2025-01-15T23:30:00.000Z,STAN @ WAKE,WAKE -6.5 -110,spread_home,game,-110,-6.5,win,1.1,1,11,10,
nba,2025-01-16T00:30:00.000Z,BOS @ TOR,,custom,game,-113,27.5,win,0.7,0.6195,7,6.1947,
nba,2025-01-16T02:00:00.000Z,HOU @ DEN,,custom,game,-110,20.5,loss,1,-1,10,-10,
ncaab,2025-01-16T02:30:00.000Z,PUR @ WASH,PUR -7.5 -110,spread_away,game,-110,-7.5,win,1.1,1,11,10,
nba,2025-01-16T02:30:00.000Z,GSW @ MIN,,custom,game,100,13.5,loss,1,-1,10,-10,
nba,2025-01-16T03:00:00.000Z,MIA @ LAL,,custom,game,-120,13.5,loss,1,-1,10,-10,
ncaaw,2025-01-16T17:00:00.000Z,OAK (W) @ MILW (W),(Live) OAK (W) -198,ml_away,game,-198,-198,win,1,0.5051,10,5.0505,
ncaab,2025-01-17T00:00:00.000Z,LT @ JVST,JVST +3.5 -118,spread_home,game,-118,3.5,win,1.18,1,11.8,10,
ncaab,2025-01-17T00:00:00.000Z,MICH @ MINN,,custom,game,-110,77,loss,1.1,-1.1,11,-11,
ncaab,2025-01-17T00:00:00.000Z,MEM @ TEM,MEM -8.5 -110,spread_away,game,-110,-8.5,loss,1.1,-1.1,11,-11,
ncaab,2025-01-17T00:00:00.000Z,MICH @ MINN,MICH @ MINN: u144 -110,under,game,-110,144,loss,1.1,-1.1,11,-11,
nba,2025-01-17T00:00:00.000Z,IND @ DET,,custom,game,-130,2.5,loss,0.8,-0.8,8,-8,
ncaab,2025-01-17T02:00:00.000Z,MD @ NW,NW +1.5 -110,spread_home,game,-110,1.5,win,1.1,1,11,10,
ncaab,2025-01-17T02:00:00.000Z,MD @ NW,NW +2.5 +103,spread_home,game,103,2.5,win,2,2.06,20,20.6,
nba,2025-01-17T03:00:00.000Z,HOU @ SAC,,custom,game,-115,5.5,win,0.8,0.6957,8,6.9565,
ncaab,2025-01-17T04:00:00.000Z,GONZ @ ORST,GONZ -9.5 -110,spread_away,game,-110,-9.5,loss,1.65,-1.65,16.5,-16.5,
ncaab,2025-01-17T04:00:00.000Z,GONZ @ ORST,,custom,game,-110,80.5,win,1.1,1,11,10,
ncaab,2025-01-17T04:00:00.000Z,GONZ @ ORST,,custom,game,-111,17.5,win,2,1.8018,20,18.018,
ncaab,2025-01-17T04:00:00.000Z,GONZ @ ORST,,custom,game,-120,8.5,win,2,1.6667,20,16.6667,
ncaab,2025-01-17T23:00:00.000Z,OHIO @ AKR,OHIO +4 -123,spread_away,game,-123,4,loss,1.476,-1.476,14.76,-14.76,
ncaab,2025-01-18T00:00:00.000Z,PROV @ VILL,,custom,game,-110,74.5,win,1.21,1.1,12.1,11,
ncaab,2025-01-18T00:00:00.000Z,VCU @ JOES,(Live) JOES +4.5 -110,spread_home,game,-110,4.5,loss,1.19,-1.19,11.9,-11.9,
ncaab,2025-01-18T01:00:00.000Z,IND @ OSU,IND +7.5 -110,spread_away,game,-110,7.5,win,1.32,1.2,13.2,12,
ncaab,2025-01-18T01:00:00.000Z,DEP @ GTWN,,custom,game,-110,66.5,loss,1.21,-1.21,12.1,-12.1,
ncaab,2025-01-18T01:00:00.000Z,IND @ OSU,,custom,game,-110,77.5,loss,1.21,-1.21,12.1,-12.1,
ncaab,2025-01-18T02:00:00.000Z,IOWA @ UCLA,,custom,game,-110,79.5,win,1.21,1.1,12.1,11,
ncaab,2025-01-18T04:00:00.000Z,BSU @ UNM,,custom,game,-110,77.5,win,1.21,1.1,12.1,11,
ncaab,2025-01-18T04:00:00.000Z,BSU @ UNM,UNM -3 -124,spread_home,game,-124,-3,win,2.728,2.2,27.28,22,
laliga,2025-01-18T13:00:00.000Z,SEV @ GIR,SEV @ GIR: o2.5 +100,over,game,100,2.5,win,1,1,10,10,
seriea,2025-01-18T14:00:00.000Z,MON @ BFC,BFC -0.75 -131,spread_home,game,-131,-0.75,win,1.31,1,13.1,10,
bundesliga,2025-01-18T14:30:00.000Z,RBL @ BOC,RBL -0.5 +100,spread_away,game,100,-0.5,loss,1,-1,10,-10,
ncaab,2025-01-18T17:00:00.000Z,CLEM @ PITT,(Live) PITT +5.5 -105,spread_home,game,-105,5.5,win,1.1,1.0476,11,10.4762,
ncaab,2025-01-18T17:00:00.000Z,CREI @ CONN,(Live) CONN +1.5 -126,spread_home,game,-126,1.5,loss,1.26,-1.26,12.6,-12.6,
ncaab,2025-01-18T18:00:00.000Z,KSU @ KU,,custom,game,-110,77.5,win,2.2,2,22,20,
ncaab,2025-01-18T19:00:00.000Z,SMU @ MIA,MIA +6 -118,spread_home,game,-118,6,loss,2.36,-2.36,23.6,-23.6,
ncaab,2025-01-18T21:00:00.000Z,L-IL @ DAY,(Live) DAY -161,ml_home,game,-161,-161,win,1.061,0.659,10.61,6.5901,
ncaab,2025-01-18T21:00:00.000Z,TEX @ FLA,FLA -10.5 -110,spread_home,game,-110,-10.5,win,1.1,1,11,10,
nfl,2025-01-18T21:30:00.000Z,HOU @ KC,,custom,game,-138,8.5,loss,2,-2,20,-20,
ncaab,2025-01-18T22:00:00.000Z,ISU @ WVU,,custom,game,-110,71.5,win,2.2,2,22,20,
ncaab,2025-01-18T23:00:00.000Z,SJSU @ NEV,,custom,game,-110,61.5,loss,1.1,-1.1,11,-11,
ncaab,2025-01-18T23:00:00.000Z,MISS @ MSST,MSST -5.5 -110,spread_home,game,-110,-5.5,loss,2.2,-2.2,22,-22,
nfl,2025-01-19T01:00:00.000Z,WAS @ DET,,custom,game,-137,14.5,loss,1,-1,10,-10,
nfl,2025-01-19T01:00:00.000Z,WAS @ DET,,custom,game,-115,22.5,loss,1,-1,10,-10,
ncaab,2025-01-19T01:30:00.000Z,LSU @ TXAM,TXAM -11.5 -110,spread_home,game,-110,-11.5,loss,1.1,-1.1,11,-11,
ncaab,2025-01-19T02:00:00.000Z,SCU @ GONZ,GONZ -14.5 -124,spread_home,game,-124,-14.5,loss,6.2,-6.2,62,-62,
ncaab,2025-01-19T02:00:00.000Z,SCU @ GONZ,(Live) GONZ +120,ml_home,game,120,120,loss,72,-72,720,-720,
ncaab,2025-01-19T03:00:00.000Z,ORST @ SF,,custom,game,-110,69.5,loss,1.1,-1.1,11,-11,
ncaaf,2025-01-21T00:30:00.000Z,OSU @ ND,,custom,game,101,110,win,1.5,1.515,15,15.15,
nfl,2025-01-26T23:30:00.000Z,BUF @ KC,BUF +1 -110,spread_away,game,-110,1,loss,5.5,-5.5,55,-55,
champions,2025-01-29T20:00:00.000Z,BRU @ MCI,MCI -400,ml_home,game,-400,-400,win,6,1.5,60,15,
ncaab,2025-02-05T02:00:00.000Z,OKLA @ AUB,AUB -17.5 -110,spread_home,game,-110,-17.5,win,1.1,1,11,10,
ncaab,2025-02-05T03:00:00.000Z,SJSU @ FRES,FRES +3 -110,spread_home,game,-110,3,push,1.5,0,15,0,
ncaab,2025-02-06T00:00:00.000Z,CLEV @ NKU,NKU +1.5 -107,spread_home,game,-107,1.5,win,1.1,1.028,11,10.2804,
nba,2025-02-06T00:00:00.000Z,CLE @ DET,(Live) DET +6.5 +105,spread_home,game,105,6.5,win,1.1,1.155,11,11.55,
ncaab,2025-02-06T01:30:00.000Z,ILL @ RUTG,RUTG +7 -115,spread_home,game,-115,7,win,1.1,0.9565,11,9.5652,
bundesliga,2025-02-07T19:30:00.000Z,SVW @ BMU,BMU -2.72 -110,spread_home,game,-110,-2.72,win,0.55,0.5,5.5,5,
ncaab,2025-02-08T01:00:00.000Z,SJU @ CONN,CONN -2.5 -134,spread_home,game,-134,-2.5,loss,1.34,-1.34,13.4,-13.4,
ligue1,2025-02-08T20:05:00.000Z,REN @ STE,REN +125,ml_away,game,125,125,win,1.1,1.375,11,13.75,
ncaab,2025-02-08T22:00:00.000Z,UTAH @ WVU,,custom,game,-110,71.5,win,1.1,1,11,10,
ncaab,2025-02-08T22:00:00.000Z,FGCU @ UNF,,custom,game,-125,80.5,win,3,2.4,30,24,
ncaab,2025-02-08T23:00:00.000Z,BYU @ CIN,,custom,game,-110,69.5,win,1.1,1,11,10,
ncaab,2025-02-09T03:00:00.000Z,SDSU @ CSU,CSU -125,ml_home,game,-125,-125,win,1.1,0.88,11,8.8,
nfl,2025-02-09T23:30:00.000Z,KC @ PHI,,custom,game,-160,4.5,loss,2.5,-2.5,25,-25,
nfl,2025-02-09T23:30:00.000Z,KC @ PHI,,custom,game,-120,103.5,win,1.2,1,12,10,
nfl,2025-02-09T23:30:00.000Z,KC @ PHI,,custom,game,-120,13.5,win,3,2.5,30,25,
nfl,2025-02-09T23:30:00.000Z,KC @ PHI,,custom,game,-128,36.5,win,2.304,1.8,23.04,18,
nfl,2025-02-09T23:30:00.000Z,KC @ PHI,,custom,game,-115,22.5,loss,1.5,-1.5,15,-15,
champions,2025-02-11T20:00:00.000Z,BVB @ SPO,BVB +0.5 -125,spread_away,game,-125,0.5,win,1.875,1.5,18.75,15,
ncaab,2025-02-12T02:00:00.000Z,CONN @ CREI,CONN +3.5 -110,spread_away,game,-110,3.5,win,2.6,2.3636,26,23.6364,
champions,2025-02-12T17:45:00.000Z,ATA @ BRU,ATA -0.25 -130,spread_away,game,-130,-0.25,loss,1.95,-1.95,19.5,-19.5,
champions,2025-02-12T20:00:00.000Z,BMU @ CEL,BMU -1.5 -105,spread_away,game,-105,-1.5,loss,1.575,-1.575,15.75,-15.75,
europa,2025-02-13T17:45:00.000Z,RSC @ FEN,(Live) RSC +6286,ml_away,game,6286,6286,loss,1,-1,10,-10,
europa,2025-02-13T17:45:00.000Z,RSC @ FEN,RSC +1 +100,spread_away,game,100,1,loss,1.2,-1.2,12,-12,
europa,2025-02-13T17:45:00.000Z,AJA @ USG,AJA +0.5 -125,spread_away,game,-125,0.5,win,1.25,1,12.5,10,
