League,Start Time,Game,Pick Desc,Type,Period,Odds,Odds/Spread/Total,Result,Units Wagered,Units Net,Money Wagered,Money Net,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-120,55.5,win,0.8,0.6667,8,6.6667,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,105,14.5,loss,0.8,-0.8,8,-8,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-135,31.5,loss,0.8,-0.8,8,-8,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-112,25.5,win,1,0.8929,10,8.9286,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-143,0.5,loss,2,-2,20,-20,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-114,69.5,win,1.14,1,11.4,10,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,125,8.5,win,0.8,1,8,10,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-115,17.5,loss,0.05,-0.05,0.5,-0.5,
nfl,2024-12-10T01:15:00.000Z,CIN @ DAL,,custom,game,-120,26.5,win,1,0.8333,10,8.3333,
champions,2024-12-10T20:00:00.000Z,SPO @ BRU,SPO +200,ml_away,game,200,200,loss,1.25,-1.25,12.5,-12.5,
champions,2024-12-10T20:00:00.000Z,INT @ LEV,INT +0.25 -110,spread_away,game,-110,0.25,loss,1.15,-1.15,11.5,-11.5,
champions,2024-12-10T20:00:00.000Z,PSG @ RBS,,custom,game,100,2.5,win,2,2,20,20,
europa,2024-12-11T15:30:00.000Z,ATH @ FEN,ATH +227,ml_away,game,227,227,win,1,2.27,10,22.7,
champions,2024-12-11T20:00:00.000Z,SPA @ FEY,SPA @ FEY: o3 -115,over,game,-115,3,win,1.15,1,11.5,10,
champions,2024-12-11T20:00:00.000Z,YB @ VFB,VFB -1.5 -120,spread_home,game,-120,-1.5,win,1.2,1,12,10,
champions,2024-12-11T20:00:00.000Z,CRZ @ ACM,,custom,game,100,2.5,loss,3,-3,30,-30,
europa,2024-12-12T17:45:00.000Z,FCSB @ TSG,TSG -173,ml_home,game,-173,-173,loss,1.2,-1.2,12,-12,
europa,2024-12-12T20:00:00.000Z,TOT @ RFC,TOT -0.25 -130,spread_away,game,-130,-0.25,loss,2,-2,20,-20,
europa,2024-12-12T20:00:00.000Z,RSC @ SLA,RSC +1 -130,spread_away,game,-130,1,win,1.95,1.5,19.5,15,
europa,2024-12-12T20:00:00.000Z,DYK @ RSO,DYK @ RSO: o2.75 -105,over,game,-105,2.75,win,1.05,1,10.5,10,
nfl,2024-12-13T01:15:00.000Z,LA @ SF,,custom,game,-112,56.5,win,0.896,0.8,8.96,8,
laliga,2024-12-14T13:00:00.000Z,OSA @ ESP,OSA PK -110,spread_away,game,-110,0,push,1.1,0,11,0,
bundesliga,2024-12-14T14:30:00.000Z,BOC @ UNI,UNI -1 -105,spread_home,game,-105,-1,loss,1.05,-1.05,10.5,-10.5,
bundesliga,2024-12-14T14:30:00.000Z,BMU @ M05,BMU o2.5 +155,away_over,game,155,2.5,loss,1.2,-1.2,12,-12,
epl,2024-12-14T15:00:00.000Z,EVE @ ARS,,custom,game,115,2.5,loss,1.2,-1.2,12,-12,
epl,2024-12-14T15:00:00.000Z,LEI @ NEW,LEI @ NEW: o3.25 -130,over,game,-130,3.25,win,1.3,1,13,10,
laliga,2024-12-14T20:00:00.000Z,RMA @ RVC,RMA @ RVC: o2.5 -125,over,game,-125,2.5,win,1.875,1.5,18.75,15,
laliga,2024-12-14T20:00:00.000Z,RMA @ RVC,RMA -1 -110,spread_away,game,-110,-1,loss,1.1,-1.1,11,-11,
laliga,2024-12-14T20:00:00.000Z,RMA @ RVC,RMA o1.5 -145,away_over,game,-145,1.5,win,2.175,1.5,21.75,15,
ncaaf,2024-12-14T20:00:00.000Z,UCD @ SDAK,UCD +6.5 -122,spread_away,game,-122,6.5,loss,1.83,-1.83,18.3,-18.3,
ncaab,2024-12-14T20:00:00.000Z,UCLA @ ARIZ,(Live) UCLA +8.5 -115,spread_away,game,-115,8.5,win,1,0.8696,10,8.6957,
ncaab,2024-12-15T01:00:00.000Z,GONZ @ CONN,(Live) GONZ +126,ml_away,game,126,126,loss,1.2,-1.2,12,-12,
ncaab,2024-12-15T01:00:00.000Z,GONZ @ CONN,,custom,game,-150,0.5,win,8,5.3333,80,53.3333,
ncaab,2024-12-15T01:00:00.000Z,GONZ @ CONN,GONZ -2.5 -110,spread_away,game,-110,-2.5,loss,1.1,-1.1,11,-11,
